silent
"['16', '21', '28', '34', '5', '61', '9']",16=0.0,21=0.0,28=0.0,34=0.0,5=0.0,61=0.0,9=0.0
"['11', '3', '58']",11=0.0,3=0.0,58=0.0
"['15', '50', '69']",15=0.0,50=0.0,69=0.0
66
"['16', '21', '28', '34', '5', '50', '61']",16=-0.25,21=0.0,28=0.0,34=0.0,5=0.0,50=0.0,61=0.0
"['11', '13', '29', '33', '50', '55', '66']",11=0.0,13=0.0,29=0.0,33=-0.25,50=0.0,55=0.0,66=0.0
"['27', '3', '3', '3', '38', '58', '64']",27=0.0,3=0.0,3=0.0,3=0.0,38=0.0,58=0.0,64=0.0
"['1', '20', '29', '37', '5', '64', '64']",1=-0.25,20=0.0,29=0.0,37=0.0,5=0.0,64=0.0,64=0.0
"['16', '26', '37', '52', '64', '9', '9']",16=0.0,26=0.5,37=0.0,52=0.0,64=0.0,9=0.0,9=0.0
"['10', '25', '5', '55', '7', '9', '9']",10=0.0,25=0.0,5=0.0,55=0.0,7=0.0,9=0.0,9=-0.25
"['16', '20', '26', '32', '41', '51', '69']",16=0.0,20=0.0,26=-0.25,32=0.0,41=0.0,51=0.0,69=0.0
"['18', '22', '23', '30', '36', '50', '8']",18=0.0,22=0.0,23=0.0,30=-0.25,36=0.0,50=0.0,8=0.0
3
"['16', '21', '28', '34', '5', '61', '9']",16=0.0,21=0.0,28=0.0,34=-0.25,5=0.0,61=0.0,9=0.0
"['18', '31', '39', '48', '5', '8', '9']",18=0.0,31=0.0,39=0.0,48=0.0,5=0.0,8=0.5,9=0.0
"['23', '25', '3', '30', '39', '48', '5']",23=0.0,25=0.0,3=0.0,30=0.0,39=0.0,48=0.0,5=-0.25
"['23', '26', '37', '52', '64', '9', '9']",23=0.0,26=0.0,37=0.0,52=0.0,64=0.0,9=0.0,9=0.0
"['23', '37', '39', '4', '49', '55', '57']",23=0.0,37=0.0,39=0.0,4=0.0,49=0.0,55=0.0,57=0.0
"['23', '25', '37', '39', '4', '46', '57']",23=0.0,25=0.0,37=0.0,39=0.0,4=0.0,46=0.0,57=0.0
"['10', '14', '30', '48', '52', '64', '9']",10=0.5,14=0.0,30=0.0,48=0.0,52=0.0,64=0.0,9=0.0
"['27', '43', '48', '54', '62', '62', '64']",27=0.0,43=0.5,48=0.0,54=0.0,62=0.0,62=0.0,64=0.0
"['2', '37', '37', '48', '64', '67', '9']",2=0.0,37=0.0,37=0.0,48=0.0,64=0.0,67=0.0,9=0.0
intelligent
"['16', '21', '28', '34', '5', '50', '61']",16=0.0,21=0.0,28=0.0,34=0.0,5=0.0,50=0.0,61=0.0
13
"['16', '28', '34', '46', '5', '50', '61']",16=0.0,28=0.0,34=0.0,46=0.0,5=-0.25,50=0.0,61=0.0
"['16', '23', '25', '28', '34', '5', '61']",16=0.0,23=0.5,25=0.0,28=0.0,34=0.0,5=0.0,61=0.0
"['18', '23', '28', '28', '33', '38', '42']",18=0.0,23=0.0,28=0.0,28=-0.25,33=0.0,38=0.0,42=0.0
"['27', '3', '3', '3', '50', '58', '64']",27=0.0,3=0.0,3=0.0,3=0.0,50=0.0,58=0.5,64=0.0
"['3', '38', '52', '58', '64', '64', '64']",3=0.0,38=0.0,52=0.0,58=0.0,64=0.5,64=0.0,64=0.0
"['23', '25', '3', '39', '48', '5', '62']",23=0.0,25=0.0,3=0.0,39=0.0,48=0.0,5=0.0,62=0.0
