fresh
"['12', '14', '23', '27', '48', '59', '73']",12=0.0,14=0.0,23=0.0,27=0.0,48=0.0,59=0.0,73=0.0
"['14', '16', '18', '40', '44', '59', '72']",14=0.0,16=0.0,18=0.0,40=0.0,44=0.0,59=0.0,72=0.0
"['15', '25', '43']",15=0.0,25=0.0,43=0.0
3
"['14', '23', '27', '3', '48', '59', '73']",14=0.0,23=0.0,27=0.0,3=0.0,48=-0.25,59=0.0,73=0.0
"['30', '41', '43', '58', '64', '7', '9']",30=0.0,41=0.0,43=0.5,58=0.0,64=0.0,7=0.0,9=0.0
"['28', '43', '49', '57', '64', '69', '9']",28=0.0,43=0.0,49=0.0,57=0.0,64=0.0,69=0.5,9=0.0
"['26', '29', '48', '63', '64', '64', '73']",26=0.0,29=0.0,48=0.0,63=0.0,64=0.0,64=0.0,73=0.0
"['6', '61', '68', '70', '70', '73', '9']",6=0.0,61=0.0,68=0.0,70=0.0,70=0.0,73=0.0,9=-0.25
"['16', '18', '25', '3', '39', '53', '53']",16=0.0,18=0.0,25=0.0,3=0.0,39=0.0,53=0.0,53=-0.25
"['12', '54', '54', '61', '65', '67', '73']",12=0.0,54=0.0,54=0.0,61=0.0,65=0.0,67=0.0,73=-0.25
16
"['12', '14', '23', '27', '48', '59', '73']",12=0.0,14=0.0,23=-0.25,27=0.0,48=0.0,59=0.0,73=0.0
"['14', '16', '18', '40', '44', '59', '72']",14=0.0,16=0.0,18=0.0,40=-0.25,44=0.0,59=0.0,72=0.0
"['13', '14', '16', '17', '18', '40', '72']",13=0.0,14=0.0,16=0.0,17=0.0,18=0.0,40=0.0,72=0.0
"['14', '16', '17', '18', '40', '46', '72']",14=0.0,16=0.0,17=0.0,18=0.0,40=-0.25,46=0.0,72=0.0
"['28', '29', '45', '48', '63', '64', '73']",28=0.0,29=0.0,45=0.0,48=0.0,63=-0.25,64=0.0,73=0.0
"['26', '29', '48', '63', '64', '64', '73']",26=0.0,29=0.0,48=-0.25,63=0.0,64=0.0,64=0.0,73=0.0
"['4', '6', '6', '61', '68', '73', '9']",4=0.0,6=0.0,6=0.0,61=0.0,68=0.0,73=0.0,9=0.0
"['24', '6', '61', '68', '70', '73', '9']",24=0.0,6=0.0,61=0.0,68=0.0,70=0.0,73=0.0,9=0.5
"['10', '27', '34', '39', '53', '6', '9']",10=0.0,27=0.0,34=0.0,39=0.0,53=0.0,6=0.0,9=0.5
"['17', '24', '27', '34', '42', '5', '53']",17=0.0,24=0.0,27=0.0,34=0.0,42=0.0,5=0.0,53=0.0
"['24', '25', '37', '42', '47', '56', '73']",24=-0.25,25=0.0,37=0.0,42=0.0,47=0.0,56=0.0,73=0.0
"['1', '12', '54', '61', '65', '67', '73']",1=0.0,12=0.0,54=0.0,61=0.0,65=-0.25,67=0.0,73=0.0
perverse
"['14', '23', '27', '3', '48', '59', '73']",14=0.0,23=0.0,27=0.0,3=0.0,48=0.0,59=0.0,73=0.0
"['6', '61', '68', '70', '70', '73', '9']",6=0.0,61=0.0,68=0.0,70=0.0,70=0.0,73=0.0,9=0.0
61
